epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1312.18,1.1368,0.90086,1.3192,0.76744,0.60959,0.71261,0.37963,1.63665,1.26999,1.79702,0.0014387,0.0014387,0.0014387
85,1327.59,1.17358,0.93482,1.32944,0.73667,0.62921,0.72077,0.37222,1.64646,1.22227,1.7671,0.00143595,0.00143595,0.00143595
86,1342.97,1.17667,0.94519,1.32622,0.6794,0.68201,0.72068,0.41248,1.58637,1.24692,1.73325,0.0014332,0.0014332,0.0014332
87,1358.36,1.12883,0.87462,1.29225,0.76632,0.75785,0.78132,0.46806,1.53821,1.12796,1.71928,0.00143045,0.00143045,0.00143045
88,1373.77,1.14794,0.89988,1.31455,0.8466,0.6247,0.77934,0.43438,1.60276,1.16035,1.73654,0.0014277,0.0014277,0.0014277
89,1389.11,1.12901,0.87013,1.29671,0.84873,0.62554,0.76345,0.42913,1.57223,1.17888,1.73134,0.00142495,0.00142495,0.00142495
90,1404.38,1.13573,0.91224,1.30965,0.78371,0.59525,0.70679,0.38026,1.60628,1.27079,1.75771,0.0014222,0.0014222,0.0014222
91,1419.61,1.14535,0.90088,1.29875,0.8562,0.62137,0.76318,0.42251,1.63257,1.13608,1.77425,0.00141945,0.00141945,0.00141945
92,1434.91,1.11868,0.86232,1.28216,0.8471,0.70852,0.78573,0.45152,1.56291,1.07453,1.76852,0.0014167,0.0014167,0.0014167
93,1450.33,1.10624,0.86517,1.27743,0.84916,0.67728,0.79742,0.44018,1.63275,1.19074,1.85405,0.00141395,0.00141395,0.00141395
94,1465.74,1.10379,0.84499,1.26723,0.81274,0.6667,0.75925,0.43991,1.60366,1.14772,1.77688,0.0014112,0.0014112,0.0014112
95,1480.99,1.09721,0.84527,1.28373,0.80187,0.67899,0.77824,0.46681,1.60846,1.10091,1.77144,0.00140845,0.00140845,0.00140845
96,1496.28,1.1075,0.84841,1.27333,0.88427,0.69119,0.80952,0.46675,1.52174,1.1145,1.70532,0.0014057,0.0014057,0.0014057
97,1511.65,1.10238,0.85849,1.28351,0.89172,0.63384,0.74234,0.41676,1.63007,1.13474,1.80703,0.00140295,0.00140295,0.00140295
98,1527.14,1.07085,0.84566,1.26875,0.77328,0.67437,0.72894,0.43812,1.52714,1.19924,1.70099,0.0014002,0.0014002,0.0014002
99,1542.57,1.09215,0.83746,1.26374,0.79844,0.63888,0.7376,0.46364,1.51676,1.12388,1.70307,0.00139745,0.00139745,0.00139745
100,1557.97,1.07215,0.83783,1.27101,0.82629,0.64068,0.75728,0.45053,1.53472,1.08009,1.72515,0.0013947,0.0013947,0.0013947
101,1573.37,1.09838,0.87068,1.27588,0.78146,0.62948,0.75732,0.41078,1.56826,1.21072,1.73662,0.00139195,0.00139195,0.00139195
102,1588.75,1.09869,0.85034,1.26809,0.89074,0.64689,0.78203,0.46693,1.59009,1.16417,1.76224,0.00138919,0.00138919,0.00138919
103,1604.18,1.05902,0.80925,1.23914,0.78877,0.72823,0.79351,0.45013,1.58251,1.07028,1.738,0.00138644,0.00138644,0.00138644
104,1619.6,1.04947,0.80001,1.23281,0.78649,0.71523,0.79184,0.43317,1.55929,1.08536,1.74066,0.00138369,0.00138369,0.00138369
105,1634.94,1.06574,0.80714,1.24627,0.74992,0.64975,0.71824,0.41645,1.58812,1.19788,1.7709,0.00138094,0.00138094,0.00138094
106,1650.19,1.05838,0.81241,1.23272,0.83453,0.6987,0.81913,0.49037,1.47898,1.08965,1.67321,0.00137819,0.00137819,0.00137819
107,1665.47,1.06108,0.82504,1.25334,0.73923,0.69672,0.74256,0.43082,1.59172,1.12492,1.79658,0.00137544,0.00137544,0.00137544
108,1680.99,1.04251,0.79941,1.2176,0.86459,0.63213,0.76347,0.471,1.46568,1.06389,1.65892,0.00137269,0.00137269,0.00137269
109,1696.38,1.03189,0.7931,1.23507,0.84857,0.72337,0.80893,0.48416,1.47702,1.05796,1.65547,0.00136994,0.00136994,0.00136994
110,1711.73,1.01186,0.77712,1.21761,0.90296,0.66267,0.80745,0.48084,1.50267,1.0996,1.68456,0.00136719,0.00136719,0.00136719
111,1727.04,1.03701,0.8081,1.23292,0.87718,0.64433,0.78547,0.45235,1.50009,1.06016,1.70338,0.00136444,0.00136444,0.00136444
112,1742.44,1.04577,0.79126,1.23212,0.83546,0.72823,0.79675,0.46301,1.50483,1.15775,1.68612,0.00136169,0.00136169,0.00136169
113,1757.78,1.01377,0.79065,1.22249,0.91418,0.66529,0.81598,0.51149,1.4328,1.08164,1.61888,0.00135894,0.00135894,0.00135894
114,1773.15,1.00974,0.75958,1.21099,0.84844,0.71603,0.80898,0.48636,1.46512,1.08828,1.66612,0.00135619,0.00135619,0.00135619
115,1788.43,0.99503,0.75904,1.19933,0.87686,0.76611,0.84681,0.49591,1.46497,0.98964,1.66066,0.00135344,0.00135344,0.00135344
116,1803.84,1.00979,0.75014,1.2118,0.87201,0.72089,0.81476,0.46204,1.53808,1.05919,1.70339,0.00135069,0.00135069,0.00135069
117,1819.17,0.99572,0.74905,1.19022,0.90224,0.67404,0.78081,0.46972,1.54786,1.09256,1.69923,0.00134794,0.00134794,0.00134794
118,1834.56,1.01854,0.76995,1.20433,0.89112,0.66197,0.78663,0.46164,1.52483,1.07138,1.71594,0.00134519,0.00134519,0.00134519
119,1849.9,1.01342,0.78701,1.21606,0.76774,0.75503,0.81219,0.47319,1.47618,1.16824,1.69947,0.00134244,0.00134244,0.00134244
120,1865.26,1.00983,0.75568,1.21198,0.77932,0.73802,0.80922,0.42865,1.4954,1.16113,1.67707,0.00133968,0.00133968,0.00133968
121,1880.52,1.01799,0.75732,1.21655,0.87888,0.68921,0.83005,0.49526,1.50227,1.06584,1.65908,0.00133693,0.00133693,0.00133693
122,1895.81,0.99421,0.7542,1.20285,0.8893,0.74123,0.87255,0.5081,1.47996,0.97466,1.6857,0.00133418,0.00133418,0.00133418
123,1911.12,0.96767,0.73784,1.19103,0.84288,0.7078,0.82051,0.50521,1.52576,1.00869,1.74096,0.00133143,0.00133143,0.00133143
124,1926.55,0.97959,0.74534,1.18894,0.82107,0.6987,0.79812,0.47193,1.52487,1.03761,1.78145,0.00132868,0.00132868,0.00132868
125,1941.89,0.98406,0.73978,1.19067,0.88838,0.73014,0.83905,0.51208,1.44946,1.05008,1.68209,0.00132593,0.00132593,0.00132593
126,1957.29,0.96484,0.7517,1.19223,0.78974,0.72988,0.78552,0.47613,1.44047,1.11812,1.66193,0.00132318,0.00132318,0.00132318
127,1972.7,0.96966,0.7443,1.18781,0.90867,0.67058,0.80035,0.47713,1.53041,1.01273,1.75288,0.00132043,0.00132043,0.00132043
128,1988.16,0.97088,0.74228,1.18064,0.8187,0.70613,0.8008,0.47115,1.53882,1.08545,1.72827,0.00131768,0.00131768,0.00131768
129,2003.56,0.97293,0.72997,1.17577,0.87879,0.72918,0.83088,0.52308,1.4447,0.99886,1.62979,0.00131493,0.00131493,0.00131493
130,2018.92,0.94974,0.72469,1.1779,0.83927,0.70736,0.83055,0.51841,1.51317,1.11462,1.73266,0.00131218,0.00131218,0.00131218
131,2034.27,0.9654,0.73821,1.18265,0.80251,0.7469,0.82281,0.50209,1.50992,1.02004,1.70246,0.00130943,0.00130943,0.00130943
132,2049.69,0.94468,0.69863,1.16612,0.90715,0.71594,0.85062,0.49123,1.47644,1.01361,1.67824,0.00130668,0.00130668,0.00130668
133,2065.13,0.93611,0.69764,1.16227,0.88476,0.64698,0.79589,0.4723,1.55601,1.0049,1.79147,0.00130393,0.00130393,0.00130393
134,2080.55,0.94671,0.71225,1.16791,0.89659,0.72667,0.82913,0.49459,1.50963,1.00503,1.70117,0.00130118,0.00130118,0.00130118
135,2095.97,0.94239,0.70813,1.15655,0.89542,0.71338,0.82065,0.49362,1.51821,1.03798,1.73124,0.00129843,0.00129843,0.00129843
136,2111.32,0.95609,0.71023,1.17995,0.86328,0.73814,0.8369,0.53353,1.46523,1.01971,1.65222,0.00129568,0.00129568,0.00129568
